trade_id,fill_time,direction,route,m15_background,m5_direction,m5_phase,context_class,signal_basis,human_review_flags,plan_evidence,issue_bucket
T015,2025.04.28 01:25:00,SELL,B_COMPLEX_H2_L2,M15_BEAR,M5_BULL,WEAKENING,PRIMARY_ALIGNED,COMPLEX_PULLBACK+TRUE_SECOND_TEST+STRONG_ENGULF_CLOSE,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T017,2025.04.28 18:40:00,SELL,B_COMPLEX_H2_L2,M15_BEAR,M5_BULL,WEAKENING,PRIMARY_ALIGNED,COMPLEX_PULLBACK+TRUE_SECOND_TEST+STRONG_ENGULF_CLOSE,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T018,2025.04.28 20:55:01,SELL,B_COMPLEX_H2_L2,M15_BEAR,M5_BULL,WEAKENING,PRIMARY_ALIGNED,COMPLEX_PULLBACK+TRUE_SECOND_TEST+STRONG_ENGULF_CLOSE,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T019,2025.04.30 07:45:00,BUY,B_COMPLEX_H2_L2,M15_BULL,M5_BEAR,WEAKENING,PRIMARY_ALIGNED,COMPLEX_PULLBACK+TRUE_SECOND_TEST+NEW_SIGNAL,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T020,2025.09.02 10:05:00,BUY,A_HEALTHY_FIRST_RESUME,M15_BULL,M5_BEAR,RESUME,PRIMARY_ALIGNED,HEALTHY_PULLBACK+FIRST_RECOVERY_SIGNAL,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T021,2025.09.03 02:50:00,BUY,A_HEALTHY_FIRST_RESUME,M15_BULL,M5_BEAR,WEAKENING,PRIMARY_ALIGNED,HEALTHY_PULLBACK+FIRST_RECOVERY+STRONG_ENGULF_CLOSE,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T023,2025.09.04 21:10:00,BUY,A_HEALTHY_FIRST_RESUME,M15_BULL,M5_BEAR,RESUME,PRIMARY_ALIGNED,HEALTHY_PULLBACK+FIRST_RECOVERY_SIGNAL,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T024,2025.09.08 08:05:00,BUY,B_COMPLEX_H2_L2,M15_BULL,M5_BEAR,WEAKENING,PRIMARY_ALIGNED,COMPLEX_PULLBACK+TRUE_SECOND_TEST+STRONG_ENGULF_CLOSE,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T025,2025.09.09 18:25:00,BUY,B_COMPLEX_H2_L2,M15_BULL,M5_BEAR,RESUME,PRIMARY_ALIGNED,COMPLEX_PULLBACK+TRUE_SECOND_TEST+NEW_SIGNAL,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T026,2025.09.09 20:15:00,SELL,A_HEALTHY_FIRST_RESUME,M15_BULL,M5_BEAR,PULLBACK,TACTICAL_LOCAL_TREND,HEALTHY_PULLBACK+FIRST_RECOVERY+STRONG_ENGULF_CLOSE,M15与M5分歧的战术局部趋势,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T027,2025.09.15 06:20:00,SELL,A_HEALTHY_FIRST_RESUME,M15_BEAR,M5_BULL,REVERSAL,PRIMARY_ALIGNED,HEALTHY_PULLBACK+FIRST_RECOVERY+STRONG_ENGULF_CLOSE,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T028,2025.09.15 12:10:00,SELL,A_HEALTHY_FIRST_RESUME,M15_BEAR,M5_BULL,RESUME,PRIMARY_ALIGNED,HEALTHY_PULLBACK+FIRST_RECOVERY+STRONG_ENGULF_CLOSE,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T030,2025.09.16 19:50:00,BUY,A_HEALTHY_FIRST_RESUME,M15_BULL,M5_BEAR,WEAKENING,PRIMARY_ALIGNED,HEALTHY_PULLBACK+FIRST_RECOVERY_SIGNAL,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T032,2025.09.19 08:25:00,SELL,B_COMPLEX_H2_L2,M15_BEAR,M5_BULL,WEAKENING,PRIMARY_ALIGNED,COMPLEX_PULLBACK+TRUE_SECOND_TEST+STRONG_ENGULF_CLOSE,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T033,2025.09.24 01:15:00,SELL,A_HEALTHY_FIRST_RESUME,M15_BULL,M5_BEAR,WEAKENING,TACTICAL_LOCAL_TREND,HEALTHY_PULLBACK+FIRST_RECOVERY_SIGNAL,M15与M5分歧的战术局部趋势,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T035,2026.03.05 02:30:00,SELL,B_COMPLEX_H2_L2,M15_BEAR,M5_BULL,RESUME,PRIMARY_ALIGNED,COMPLEX_PULLBACK+TRUE_SECOND_TEST+STRONG_ENGULF_CLOSE,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T036,2026.03.05 10:05:00,SELL,A_HEALTHY_FIRST_RESUME,M15_BEAR,M5_BULL,WEAKENING,PRIMARY_ALIGNED,HEALTHY_PULLBACK+FIRST_RECOVERY_SIGNAL,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T039,2026.03.06 21:25:00,SELL,B_COMPLEX_H2_L2,M15_BEAR,M5_BULL,RESUME,PRIMARY_ALIGNED,COMPLEX_PULLBACK+TRUE_SECOND_TEST+NEW_SIGNAL,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T042,2026.03.11 19:15:00,BUY,A_HEALTHY_FIRST_RESUME,M15_BULL,M5_BEAR,WEAKENING,PRIMARY_ALIGNED,HEALTHY_PULLBACK+FIRST_RECOVERY+STRONG_ENGULF_CLOSE,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T044,2026.03.13 08:45:00,SELL,A_HEALTHY_FIRST_RESUME,M15_BEAR,M5_BULL,WEAKENING,PRIMARY_ALIGNED,HEALTHY_PULLBACK+FIRST_RECOVERY+STRONG_ENGULF_CLOSE,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T046,2026.03.16 05:35:00,SELL,A_HEALTHY_FIRST_RESUME,M15_BEAR,M5_BULL,WEAKENING,PRIMARY_ALIGNED,HEALTHY_PULLBACK+FIRST_RECOVERY_SIGNAL,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T047,2026.03.16 07:40:00,SELL,A_HEALTHY_FIRST_RESUME,M15_BEAR,M5_BULL,WEAKENING,PRIMARY_ALIGNED,HEALTHY_PULLBACK+FIRST_RECOVERY_SIGNAL,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T048,2026.03.16 15:50:00,SELL,A_HEALTHY_FIRST_RESUME,M15_BEAR,M5_BULL,WEAKENING,PRIMARY_ALIGNED,HEALTHY_PULLBACK+FIRST_RECOVERY+STRONG_ENGULF_CLOSE,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T049,2026.03.16 17:25:00,SELL,A_HEALTHY_FIRST_RESUME,M15_BEAR,M5_UNCLEAR,WEAKENING,PRIMARY_ALIGNED,HEALTHY_PULLBACK+FIRST_RECOVERY_SIGNAL,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T052,2026.03.19 22:25:00,SELL,A_HEALTHY_FIRST_RESUME,M15_BEAR,M5_BULL,RESUME,PRIMARY_ALIGNED,HEALTHY_PULLBACK+FIRST_RECOVERY_SIGNAL,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T055,2026.03.20 15:25:00,SELL,A_HEALTHY_FIRST_RESUME,M15_BEAR,M5_BULL,RESUME,PRIMARY_ALIGNED,HEALTHY_PULLBACK+FIRST_RECOVERY+STRONG_ENGULF_CLOSE,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T056,2026.03.24 09:45:00,SELL,A_HEALTHY_FIRST_RESUME,M15_BEAR,M5_BULL,WEAKENING,PRIMARY_ALIGNED,HEALTHY_PULLBACK+FIRST_RECOVERY_SIGNAL,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T057,2026.03.24 11:20:00,SELL,A_HEALTHY_FIRST_RESUME,M15_BEAR,M5_BULL,WEAKENING,PRIMARY_ALIGNED,HEALTHY_PULLBACK+FIRST_RECOVERY_SIGNAL,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T058,2026.03.25 06:45:00,SELL,A_HEALTHY_FIRST_RESUME,M15_BEAR,M5_UNCLEAR,WEAKENING,PRIMARY_ALIGNED,HEALTHY_PULLBACK+FIRST_RECOVERY+STRONG_ENGULF_CLOSE,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T060,2026.03.26 07:40:00,SELL,A_HEALTHY_FIRST_RESUME,M15_BEAR,M5_BULL,WEAKENING,PRIMARY_ALIGNED,HEALTHY_PULLBACK+FIRST_RECOVERY+STRONG_ENGULF_CLOSE,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T061,2026.03.27 05:20:00,SELL,B_COMPLEX_H2_L2,M15_BEAR,M5_BULL,RESUME,PRIMARY_ALIGNED,COMPLEX_PULLBACK+TRUE_SECOND_TEST+STRONG_ENGULF_CLOSE,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T066,2026.03.30 19:50:00,SELL,A_HEALTHY_FIRST_RESUME,M15_BEAR,M5_UNCLEAR,WEAKENING,PRIMARY_ALIGNED,HEALTHY_PULLBACK+FIRST_RECOVERY+STRONG_ENGULF_CLOSE,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T067,2026.03.31 08:55:00,SELL,A_HEALTHY_FIRST_RESUME,M15_BEAR,M5_BULL,RESUME,PRIMARY_ALIGNED,HEALTHY_PULLBACK+FIRST_RECOVERY+STRONG_ENGULF_CLOSE,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T068,2026.03.31 21:00:00,SELL,B_COMPLEX_H2_L2,M15_BEAR,M5_BULL,PULLBACK,PRIMARY_ALIGNED,COMPLEX_PULLBACK+TRUE_SECOND_TEST+NEW_SIGNAL,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T069,2026.05.01 10:15:00,BUY,B_COMPLEX_H2_L2,M15_BULL,M5_BEAR,WEAKENING,PRIMARY_ALIGNED,COMPLEX_PULLBACK+TRUE_SECOND_TEST+STRONG_ENGULF_CLOSE,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T070,2026.05.01 11:35:00,BUY,B_COMPLEX_H2_L2,M15_BULL,M5_BEAR,RESUME,PRIMARY_ALIGNED,COMPLEX_PULLBACK+TRUE_SECOND_TEST+STRONG_ENGULF_CLOSE,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,成交相对信号收盘延伸0.29R,入场信号位置待人工判断
T071,2026.05.01 22:15:00,BUY,A_HEALTHY_FIRST_RESUME,M15_BULL,M5_UNCLEAR,WEAKENING,PRIMARY_ALIGNED,HEALTHY_PULLBACK+FIRST_RECOVERY+STRONG_ENGULF_CLOSE,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T072,2026.05.07 20:25:00,BUY,B_COMPLEX_H2_L2,M15_BULL,M5_BEAR,WEAKENING,PRIMARY_ALIGNED,COMPLEX_PULLBACK+TRUE_SECOND_TEST+STRONG_ENGULF_CLOSE,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T073,2026.05.08 09:30:00,BUY,A_HEALTHY_FIRST_RESUME,M15_BULL,M5_UNCLEAR,WEAKENING,PRIMARY_ALIGNED,HEALTHY_PULLBACK+FIRST_RECOVERY+STRONG_ENGULF_CLOSE,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T074,2026.05.12 09:05:00,SELL,A_HEALTHY_FIRST_RESUME,M15_BEAR,M5_UNCLEAR,WEAKENING,PRIMARY_ALIGNED,HEALTHY_PULLBACK+FIRST_RECOVERY+STRONG_ENGULF_CLOSE,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T076,2026.05.19 01:55:00,SELL,B_COMPLEX_H2_L2,M15_BEAR,M5_BULL,WEAKENING,PRIMARY_ALIGNED,COMPLEX_PULLBACK+TRUE_SECOND_TEST+STRONG_ENGULF_CLOSE,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T078,2026.05.22 21:55:00,BUY,A_HEALTHY_FIRST_RESUME,M15_BULL,M5_BEAR,WEAKENING,PRIMARY_ALIGNED,HEALTHY_PULLBACK+FIRST_RECOVERY+STRONG_ENGULF_CLOSE,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T079,2026.05.26 03:30:00,BUY,B_COMPLEX_H2_L2,M15_BULL,M5_BEAR,WEAKENING,PRIMARY_ALIGNED,COMPLEX_PULLBACK+TRUE_SECOND_TEST+STRONG_ENGULF_CLOSE,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T080,2026.05.26 06:10:00,BUY,B_COMPLEX_H2_L2,M15_BULL,M5_BEAR,WEAKENING,PRIMARY_ALIGNED,COMPLEX_PULLBACK+TRUE_SECOND_TEST+STRONG_ENGULF_CLOSE,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T081,2026.05.28 09:00:00,SELL,A_HEALTHY_FIRST_RESUME,M15_BEAR,M5_BULL,WEAKENING,PRIMARY_ALIGNED,HEALTHY_PULLBACK+FIRST_RECOVERY+STRONG_ENGULF_CLOSE,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T082,2026.08.06 19:30:00,BUY,B_COMPLEX_H2_L2,M15_BULL,M5_BEAR,RESUME,PRIMARY_ALIGNED,COMPLEX_PULLBACK+TRUE_SECOND_TEST+NEW_SIGNAL,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T083,2026.08.10 12:45:00,BUY,A_HEALTHY_FIRST_RESUME,M15_BULL,M5_BEAR,RESUME,PRIMARY_ALIGNED,HEALTHY_PULLBACK+FIRST_RECOVERY_SIGNAL,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T086,2026.08.13 05:40:00,BUY,B_COMPLEX_H2_L2,M15_BULL,M5_BEAR,WEAKENING,PRIMARY_ALIGNED,COMPLEX_PULLBACK+TRUE_SECOND_TEST+NEW_SIGNAL,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T087,2026.08.14 11:55:00,BUY,B_COMPLEX_H2_L2,M15_BEAR,M5_BULL,WEAKENING,TACTICAL_LOCAL_TREND,COMPLEX_PULLBACK+TRUE_SECOND_TEST+STRONG_ENGULF_CLOSE,M15与M5分歧的战术局部趋势,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T088,2026.08.17 13:15:00,BUY,A_HEALTHY_FIRST_RESUME,M15_BULL,M5_BEAR,PULLBACK,PRIMARY_ALIGNED,HEALTHY_PULLBACK+FIRST_RECOVERY+STRONG_ENGULF_CLOSE,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T089,2026.08.17 22:15:00,BUY,A_HEALTHY_FIRST_RESUME,M15_BULL,M5_UNCLEAR,WEAKENING,PRIMARY_ALIGNED,HEALTHY_PULLBACK+FIRST_RECOVERY+STRONG_ENGULF_CLOSE,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T090,2026.08.24 21:25:00,BUY,B_COMPLEX_H2_L2,M15_BULL,M5_BEAR,WEAKENING,PRIMARY_ALIGNED,COMPLEX_PULLBACK+TRUE_SECOND_TEST+STRONG_ENGULF_CLOSE,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T091,2026.08.25 06:10:00,BUY,B_COMPLEX_H2_L2,M15_BULL,M5_BEAR,PULLBACK,PRIMARY_ALIGNED,COMPLEX_PULLBACK+TRUE_SECOND_TEST+NEW_SIGNAL,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T092,2026.08.26 18:55:00,SELL,A_HEALTHY_FIRST_RESUME,M15_BEAR,M5_BULL,PULLBACK,PRIMARY_ALIGNED,HEALTHY_PULLBACK+FIRST_RECOVERY+STRONG_ENGULF_CLOSE,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T093,2026.08.27 08:30:00,SELL,A_HEALTHY_FIRST_RESUME,M15_BEAR,M5_RANGE,WEAKENING,PRIMARY_ALIGNED,HEALTHY_PULLBACK+FIRST_RECOVERY+STRONG_ENGULF_CLOSE,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T094,2026.08.27 14:50:00,SELL,A_HEALTHY_FIRST_RESUME,M15_BEAR,M5_BULL,WEAKENING,PRIMARY_ALIGNED,HEALTHY_PULLBACK+FIRST_RECOVERY_SIGNAL,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T095,2026.08.27 18:25:00,SELL,A_HEALTHY_FIRST_RESUME,M15_BEAR,M5_BULL,WEAKENING,PRIMARY_ALIGNED,HEALTHY_PULLBACK+FIRST_RECOVERY+STRONG_ENGULF_CLOSE,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T097,2026.08.28 11:20:00,SELL,B_COMPLEX_H2_L2,M15_BEAR,M5_BULL,WEAKENING,PRIMARY_ALIGNED,COMPLEX_PULLBACK+TRUE_SECOND_TEST+STRONG_ENGULF_CLOSE,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T099,2026.08.31 14:40:00,SELL,B_COMPLEX_H2_L2,M15_BEAR,M5_BULL,RESUME,PRIMARY_ALIGNED,COMPLEX_PULLBACK+TRUE_SECOND_TEST+STRONG_ENGULF_CLOSE,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
